POS Shift,Probability (%)
NUM-NOUN,1.6666666666666667
NUM-SPACE,8.333333333333332
NUM-ADP,3.3333333333333335
NUM-NUM,1.6666666666666667
NUM-PROPN,1.6666666666666667
NOUN-NOUN,5.0
NOUN-SPACE,25.0
NOUN-ADP,10.0
NOUN-NUM,5.0
NOUN-PROPN,5.0
PROPN-NOUN,1.6666666666666667
PROPN-SPACE,8.333333333333332
PROPN-ADP,3.3333333333333335
PROPN-NUM,1.6666666666666667
PROPN-PROPN,1.6666666666666667
PUNCT-NOUN,1.6666666666666667
PUNCT-SPACE,8.333333333333332
PUNCT-ADP,3.3333333333333335
PUNCT-NUM,1.6666666666666667
PUNCT-PROPN,1.6666666666666667
